CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,15:00:00,VIOLATION,MANHATTAN,"986,685","215,375",40.757839,-73.99121211
6/1/2017,15:00:00,FELONY,MANHATTAN,"997,920","227,368",40.79074641,-73.95063404
6/1/2017,15:00:00,FELONY,MANHATTAN,"1,000,482","230,366",40.79897078,-73.94137447
6/1/2017,15:00:00,FELONY,MANHATTAN,"998,319","231,726",40.80270731,-73.94918398
6/1/2017,15:00:00,MISDEMEANOR,MANHATTAN,"998,063","239,700",40.82459412,-73.95009224
6/1/2017,15:00:00,MISDEMEANOR,MANHATTAN,"989,299","202,385",40.72218357,-73.98178641
6/1/2017,15:00:00,MISDEMEANOR,MANHATTAN,"986,429","205,225",40.72997985,-73.99213945
6/1/2017,15:03:00,MISDEMEANOR,MANHATTAN,"989,088","202,018",40.72117636,-73.98254788
6/1/2017,15:15:00,MISDEMEANOR,MANHATTAN,"997,110","235,133",40.81206043,-73.95354438
6/1/2017,15:20:00,MISDEMEANOR,MANHATTAN,"987,220","212,676",40.75043077,-73.98928218
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,360","239,347",40.82362631,-73.95263302
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,234","239,120",40.82300345,-73.95308871
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,234","239,120",40.82300345,-73.95308871
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,234","239,120",40.82300345,-73.95308871
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,108","238,892",40.82237783,-73.9535444
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,108","238,892",40.82237783,-73.9535444
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,108","238,892",40.82237783,-73.9535444
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"996,981","238,664",40.82175222,-73.9540037
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,071","238,764",40.82202656,-73.95367833
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"996,782","238,170",40.82039662,-73.95472362
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"981,210","196,969",40.70731886,-74.01096627
6/1/2017,15:30:00,VIOLATION,MANHATTAN,"989,138","201,443",40.7195981,-73.98236792
6/1/2017,15:30:00,MISDEMEANOR,MANHATTAN,"997,800","229,887",40.79766057,-73.95106232
6/1/2017,15:45:00,FELONY,MANHATTAN,"987,147","215,280",40.75757811,-73.98954452
6/1/2017,16:00:00,FELONY,MANHATTAN,"989,492","220,150",40.77094393,-73.98107629
6/1/2017,16:00:00,VIOLATION,MANHATTAN,"983,537","199,906",40.71538072,-74.00257344
6/1/2017,16:00:00,MISDEMEANOR,MANHATTAN,"989,940","212,961",40.75121169,-73.97946496
6/1/2017,16:00:00,MISDEMEANOR,MANHATTAN,"990,508","224,133",40.78187556,-73.97740452
6/1/2017,16:15:00,VIOLATION,MANHATTAN,"997,806","222,252",40.77670453,-73.95105606
6/1/2017,16:15:00,FELONY,MANHATTAN,"986,323","200,524",40.71707677,-73.99252335
6/1/2017,16:15:00,MISDEMEANOR,MANHATTAN,"990,148","203,914",40.72637978,-73.97872217
6/1/2017,16:15:00,MISDEMEANOR,MANHATTAN,"999,308","237,228",40.81780715,-73.94559935
6/1/2017,16:17:00,MISDEMEANOR,MANHATTAN,"987,111","212,422",40.74973364,-73.98967569
6/1/2017,16:20:00,MISDEMEANOR,MANHATTAN,"1,000,101","229,680",40.79708859,-73.94275219
6/1/2017,16:30:00,MISDEMEANOR,MANHATTAN,"1,001,475","243,456",40.83489727,-73.93775435
6/1/2017,16:30:00,FELONY,MANHATTAN,"1,000,448","227,796",40.79191689,-73.94150347
6/1/2017,16:40:00,MISDEMEANOR,MANHATTAN,"999,061","229,912",40.79772717,-73.94650786
6/1/2017,16:40:00,FELONY,MANHATTAN,"999,061","229,912",40.79772717,-73.94650786
6/1/2017,16:45:00,MISDEMEANOR,MANHATTAN,"1,016,268","227,533",40.79115187,-73.88437192
6/1/2017,16:53:00,MISDEMEANOR,MANHATTAN,"993,444","216,618",40.76124628,-73.96681323
6/1/2017,16:55:00,MISDEMEANOR,MANHATTAN,"1,001,035","240,180",40.82590644,-73.9393526
6/1/2017,17:00:00,FELONY,MANHATTAN,"983,903","200,257",40.71634415,-74.00125319
6/1/2017,17:00:00,FELONY,MANHATTAN,"987,350","201,914",40.72089168,-73.98881794
6/1/2017,17:00:00,MISDEMEANOR,MANHATTAN,"999,434","237,456",40.81843273,-73.94514362
6/1/2017,17:00:00,FELONY,MANHATTAN,"986,691","209,691",40.74223785,-73.99119252
6/1/2017,17:00:00,MISDEMEANOR,MANHATTAN,"1,004,138","226,326",40.7878746,-73.92818165
6/1/2017,17:05:00,MISDEMEANOR,MANHATTAN,"988,840","213,570",40.75288388,-73.98343469
6/1/2017,17:05:00,MISDEMEANOR,MANHATTAN,"986,618","207,098",40.73512073,-73.99145687
6/1/2017,17:05:00,MISDEMEANOR,MANHATTAN,"1,001,035","240,180",40.82590644,-73.9393526
6/1/2017,17:05:00,MISDEMEANOR,MANHATTAN,"988,840","213,570",40.75288388,-73.98343469
6/1/2017,17:10:00,VIOLATION,MANHATTAN,"994,388","232,959",40.80609695,-73.96338095
6/1/2017,17:14:00,FELONY,MANHATTAN,"998,350","241,071",40.82835667,-73.94905237
6/1/2017,17:20:00,MISDEMEANOR,MANHATTAN,"989,208","221,350",40.77423778,-73.98210072
6/1/2017,17:20:00,FELONY,MANHATTAN,"1,000,999","234,464",40.8102177,-73.93949694
6/1/2017,17:20:00,MISDEMEANOR,MANHATTAN,"1,000,531","229,408",40.79634124,-73.94119982
6/1/2017,17:30:00,MISDEMEANOR,MANHATTAN,"991,532","228,765",40.79458837,-73.97370195
6/1/2017,17:30:00,FELONY,MANHATTAN,"998,061","221,203",40.77382491,-73.95013751
6/1/2017,17:30:00,MISDEMEANOR,MANHATTAN,"989,208","221,350",40.77423778,-73.98210072
6/1/2017,17:30:00,VIOLATION,MANHATTAN,"1,000,866","226,632",40.78872124,-73.93999677
6/1/2017,17:35:00,FELONY,MANHATTAN,"989,219","223,014",40.77880502,-73.98205978
